,alt,data-gtm-event,data-gtm-event-action,data-gtm-event-category,href,src,subtitle,title,id,Year,century
1793,"A work made of charcoal, heightened with white chalk, with smudging, on blue laid paper (discolored to light brown).",Caricature of Jules Didier (“Butterfly Man”),Collection Landing,collection-nav,https://www.artic.edu/artworks/15803/caricature-of-jules-didier-butterfly-man?page=38,"https://www.artic.edu/iiif/2/466baa6e-cbc2-358d-6475-d7f45bdaedce/full/600,/0/default.jpg",Claude Monet,"Caricature of Jules Didier (“Butterfly Man”), c. 1858",1793,1858,19
1794,"A work made of acrylic, pastel, pencil, and collage on paper.","White Anger, Red Danger, Yellow Peril, Black Death",Collection Landing,collection-nav,https://www.artic.edu/artworks/103899/white-anger-red-danger-yellow-peril-black-death?page=38,"https://www.artic.edu/iiif/2/78bb24a8-e694-5240-c693-3a119ef1ae9e/full/600,/0/default.jpg",Bruce Nauman,"White Anger, Red Danger, Yellow Peril, Black Death, 1984",1794,1984,20
1795,A work made of oil on canvas.,Landscape,Collection Landing,collection-nav,https://www.artic.edu/artworks/17394/landscape?page=38,"https://www.artic.edu/iiif/2/16b34503-fcfd-ed88-b700-9b543e3b973b/full/600,/0/default.jpg",Heinrich Campendonk,"Landscape, 1917",1795,1917,20
1796,A work made of album; ink on paper.,"Shôki the Demon Queller, from an album of paintings of Shôki, Edo period (1615–1868)",Collection Landing,collection-nav,https://www.artic.edu/artworks/35361/shoki-the-demon-queller-from-an-album-of-paintings-of-shoki-edo-period-1615-1868?page=38,"https://www.artic.edu/iiif/2/9a5b73fb-903d-0010-a7ae-86dd76db4df8/full/600,/0/default.jpg","Kanô Yasunobu, School of","Shôki the Demon Queller, from an album of paintings of Shôki, Edo period (1615–1868), Edo period, 18th century",1796,1615,17
1797,"A work made of silver, leather, turquoise, and copper alloy.",Bow Guard (Ketoh),Collection Landing,collection-nav,https://www.artic.edu/artworks/198336/bow-guard-ketoh?page=38,"https://www.artic.edu/iiif/2/d7013b29-608a-98ae-d3b0-18eef60bb1ea/full/600,/0/default.jpg",Navajo (Diné),"Bow Guard (Ketoh), 1900/20",1797,1900,20
1798,A work made of oil on canvas.,One at the Time,Collection Landing,collection-nav,https://www.artic.edu/artworks/185070/one-at-the-time?page=38,"https://www.artic.edu/iiif/2/0c780431-e162-d274-bf6a-e5114dafe5ad/full/600,/0/default.jpg",Michael Borremans,"One at the Time, 2003",1798,2003,21
1799,A work made of oil on panel.,Bouquet of Flowers in an Earthenware Vase,Collection Landing,collection-nav,https://www.artic.edu/artworks/64029/bouquet-of-flowers-in-an-earthenware-vase?page=38,"https://www.artic.edu/iiif/2/da4199d2-f4a0-ef8a-574d-00d191d0cff9/full/600,/0/default.jpg","Jan Brueghel, the elder","Bouquet of Flowers in an Earthenware Vase, c. 1610",1799,1610,17
1800,A work made of hard-paste porcelain with underglaze blue decoration and silver mounts.,Ewer,Collection Landing,collection-nav,https://www.artic.edu/artworks/25230/ewer?page=38,"https://www.artic.edu/iiif/2/058e71b5-4da7-85dd-858f-7ee5fed46cf8/full/600,/0/default.jpg",,"Ewer, About 1610",1800,1610,17
1801,A work made of pen and brown ink with brush and brown and gray wash on ivory laid paper.,A Romantic Landscape with a Ruined Castle,Collection Landing,collection-nav,https://www.artic.edu/artworks/122114/a-romantic-landscape-with-a-ruined-castle?page=38,"https://www.artic.edu/iiif/2/c5231f5d-4936-6355-f09a-9a0f4b23d99c/full/600,/0/default.jpg",Robert Adam,"A Romantic Landscape with a Ruined Castle, 1778–87",1801,1778,18
1802,"A work made of 16mm black-and-white film transferred to digital video disc, sound; 8:20 min..",Dance or Exercise on the Perimeter of a Square (Square Dance),Collection Landing,collection-nav,https://www.artic.edu/artworks/184168/dance-or-exercise-on-the-perimeter-of-a-square-square-dance?page=38,"https://www.artic.edu/iiif/2/ff566ff4-5e63-4787-7e18-b2381c15dd2c/full/600,/0/default.jpg",Bruce Nauman,"Dance or Exercise on the Perimeter of a Square (Square Dance), 1967/68",1802,1967,20
